"","color_id","name","rgb","is_trans"
"1",-1,"Unknown","0033B2","f"
"2",0,"Black","05131D","f"
"3",1,"Blue","0055BF","f"
"4",2,"Green","237841","f"
"5",3,"Dark Turquoise","008F9B","f"
"6",4,"Red","C91A09","f"
"7",5,"Dark Pink","C870A0","f"
"8",6,"Brown","583927","f"
"9",7,"Light Gray","9BA19D","f"
"10",8,"Dark Gray","6D6E5C","f"
"11",9,"Light Blue","B4D2E3","f"
"12",10,"Bright Green","4B9F4A","f"
"13",11,"Light Turquoise","55A5AF","f"
"14",12,"Salmon","F2705E","f"
"15",13,"Pink","FC97AC","f"
"16",14,"Yellow","F2CD37","f"
"17",15,"White","FFFFFF","f"
"18",17,"Light Green","C2DAB8","f"
"19",18,"Light Yellow","FBE696","f"
"20",19,"Tan","E4CD9E","f"
"21",20,"Light Violet","C9CAE2","f"
"22",21,"Glow In Dark Opaque","D4D5C9","f"
"23",22,"Purple","81007B","f"
"24",23,"Dark Blue-Violet","2032B0","f"
"25",25,"Orange","FE8A18","f"
"26",26,"Magenta","923978","f"
"27",27,"Lime","BBE90B","f"
"28",28,"Dark Tan","958A73","f"
"29",29,"Bright Pink","E4ADC8","f"
"30",30,"Medium Lavender","AC78BA","f"
"31",31,"Lavender","E1D5ED","f"
"32",32,"Trans-Black IR Lens","635F52","t"
"33",33,"Trans-Dark Blue","0020A0","t"
"34",34,"Trans-Green","84B68D","t"
"35",35,"Trans-Bright Green","D9E4A7","t"
"36",36,"Trans-Red","C91A09","t"
"37",40,"Trans-Black","635F52","t"
"38",41,"Trans-Light Blue","AEEFEC","t"
"39",42,"Trans-Neon Green","F8F184","t"
"40",43,"Trans-Very Lt Blue","C1DFF0","t"
"41",45,"Trans-Dark Pink","DF6695","t"
"42",46,"Trans-Yellow","F5CD2F","t"
"43",47,"Trans-Clear","FCFCFC","t"
"44",52,"Trans-Purple","A5A5CB","t"
"45",54,"Trans-Neon Yellow","DAB000","t"
"46",57,"Trans-Neon Orange","FF800D","t"
"47",60,"Chrome Antique Brass","645A4C","f"
"48",61,"Chrome Blue","6C96BF","f"
"49",62,"Chrome Green","3CB371","f"
"50",63,"Chrome Pink","AA4D8E","f"
"51",64,"Chrome Black","1B2A34","f"
"52",68,"Very Light Orange","F3CF9B","f"
"53",69,"Light Purple","CD6298","f"
"54",70,"Reddish Brown","582A12","f"
"55",71,"Light Bluish Gray","A0A5A9","f"
"56",72,"Dark Bluish Gray","6C6E68","f"
"57",73,"Medium Blue","5A93DB","f"
"58",74,"Medium Green","73DCA1","f"
"59",75,"Speckle Black-Copper","000000","f"
"60",76,"Speckle DBGray-Silver","635F61","f"
"61",77,"Light Pink","FECCCF","f"
"62",78,"Light Flesh","F6D7B3","f"
"63",79,"Milky White","FFFFFF","f"
"64",80,"Metallic Silver","A5A9B4","f"
"65",81,"Metallic Green","899B5F","f"
"66",82,"Metallic Gold","DBAC34","f"
"67",84,"Medium Dark Flesh","CC702A","f"
"68",85,"Dark Purple","3F3691","f"
"69",86,"Dark Flesh","7C503A","f"
"70",89,"Royal Blue","4C61DB","f"
"71",92,"Flesh","D09168","f"
"72",100,"Light Salmon","FEBABD","f"
"73",110,"Violet","4354A3","f"
"74",112,"Blue-Violet","6874CA","f"
"75",114,"Glitter Trans-Dark Pink","DF6695","t"
"76",115,"Medium Lime","C7D23C","f"
"77",117,"Glitter Trans-Clear","FFFFFF","t"
"78",118,"Aqua","B3D7D1","f"
"79",120,"Light Lime","D9E4A7","f"
"80",125,"Light Orange","F9BA61","f"
"81",129,"Glitter Trans-Purple","A5A5CB","t"
"82",132,"Speckle Black-Silver","000000","f"
"83",133,"Speckle Black-Gold","000000","f"
"84",134,"Copper","AE7A59","f"
"85",135,"Pearl Light Gray","9CA3A8","f"
"86",137,"Metal Blue","7988A1","f"
"87",142,"Pearl Light Gold","DCBC81","f"
"88",143,"Trans-Medium Blue","CFE2F7","t"
"89",148,"Pearl Dark Gray","575857","f"
"90",150,"Pearl Very Light Gray","ABADAC","f"
"91",151,"Very Light Bluish Gray","E6E3E0","f"
"92",158,"Yellowish Green","DFEEA5","f"
"93",178,"Flat Dark Gold","B48455","f"
"94",179,"Flat Silver","898788","f"
"95",182,"Trans-Orange","F08F1C","t"
"96",183,"Pearl White","F2F3F2","f"
"97",191,"Bright Light Orange","F8BB3D","f"
"98",212,"Bright Light Blue","9FC3E9","f"
"99",216,"Rust","B31004","f"
"100",226,"Bright Light Yellow","FFF03A","f"
"101",230,"Trans-Pink","E4ADC8","t"
"102",232,"Sky Blue","7DBFDD","f"
"103",236,"Trans-Light Purple","96709F","t"
"104",272,"Dark Blue","0A3463","f"
"105",288,"Dark Green","184632","f"
"106",294,"Glow In Dark Trans","BDC6AD","t"
"107",297,"Pearl Gold","AA7F2E","f"
"108",308,"Dark Brown","352100","f"
"109",313,"Maersk Blue","3592C3","f"
"110",320,"Dark Red","720E0F","f"
"111",321,"Dark Azure","078BC9","f"
"112",322,"Medium Azure","36AEBF","f"
"113",323,"Light Aqua","ADC3C0","f"
"114",326,"Olive Green","9B9A5A","f"
"115",334,"Chrome Gold","BBA53D","f"
"116",335,"Sand Red","D67572","f"
"117",351,"Medium Dark Pink","F785B1","f"
"118",366,"Earth Orange","FA9C1C","f"
"119",373,"Sand Purple","845E84","f"
"120",378,"Sand Green","A0BCAC","f"
"121",379,"Sand Blue","6074A1","f"
"122",383,"Chrome Silver","E0E0E0","f"
"123",450,"Fabuland Brown","B67B50","f"
"124",462,"Medium Orange","FFA70B","f"
"125",484,"Dark Orange","A95500","f"
"126",503,"Very Light Gray","E6E3DA","f"
"127",1000,"Glow in Dark White","D9D9D9","f"
"128",1001,"Medium Violet","9391E4","f"
"129",1002,"Glitter Trans-Neon Green","C0F500","t"
"130",1003,"Glitter Trans-Light Blue","68BCC5","t"
"131",1004,"Trans Flame Yellowish Orange","FCB76D","t"
"132",1005,"Trans Fire Yellow","FBE890","t"
"133",1006,"Trans Light Royal Blue","B4D4F7","t"
"134",1007,"Reddish Lilac","8E5597","f"
"135",9999,"[No Color]","05131D","f"
